Object/Action_1,Object/Action_2,ActionUsedFor,HasProperty,AssociatedWith,Affordance,AtLocation,LocatedNear,CreatedBy,Action
leaf:curry,take,0,0,0,1,0,0,0,1.0
water,wash,0,0,0,1,0,0,0,1.0
lime,fridge,0,0,1,0,0,1,0,0.0
filter,wash,0,0,0,1,0,0,0,1.0
tortilla,check,0,0,0,1,0,0,0,1.0
paneer:saag,serve,0,0,0,1,0,0,0,1.0
oil:olive,throw,0,0,0,1,0,0,0,1.0
broccoli,mesh,0,0,1,0,0,1,0,0.0
coriander,take,0,0,0,1,0,0,0,1.0
tube,put,0,0,0,1,0,0,0,1.0
side,flour:egg,0,0,1,0,0,1,0,0.0
processor:food,garlic,0,0,1,0,0,1,0,0.0
plate:pasta,separate,0,0,0,1,0,0,0,1.0
chopstick,plate,0,0,1,0,0,1,0,0.0
sink,board:chopping,0,0,1,0,0,1,0,0.0
bowl,sink,0,0,1,0,0,1,0,0.0
coke,bottle,0,0,1,0,0,1,0,0.0
package:sausage,open,0,0,0,1,0,0,0,1.0
cup:measuring,put-down,0,0,0,1,0,0,0,1.0
hanger,clothes,0,0,1,0,0,1,0,0.0
pestle,grass:lemon,0,0,1,0,0,1,0,0.0
pot:moka,open,0,0,0,1,0,0,0,1.0
bag,leftover,0,0,1,0,0,1,0,0.0
saucepan,wash,0,0,0,1,0,0,0,1.0
lettuce,rinse,0,0,0,1,0,0,0,1.0
bin,push,0,0,0,1,0,0,0,1.0
tuna,look-for,0,0,0,1,0,0,0,1.0
bowl,sugar,0,0,1,0,0,1,0,0.0
lid,put-away,0,0,0,1,0,0,0,1.0
bowl,mixture:whole,0,0,1,0,0,1,0,0.0
microwave,cup,0,0,1,0,0,1,0,0.0
side,mixture:powder,0,0,1,0,0,1,0,0.0
oil,egg,0,0,1,0,0,1,0,0.0
potato,water,0,0,1,0,0,1,0,0.0
pot:coffee,clean,0,0,0,1,0,0,0,1.0
cheese,get,0,0,0,1,0,0,0,1.0
pan,rice,0,0,1,0,0,1,0,0.0
mixture,water,0,0,1,0,0,1,0,0.0
piece:ginger,skin,0,0,1,0,0,1,0,0.0
flour,take,0,0,0,1,0,0,0,1.0
pasta,cheese,0,0,1,0,0,1,0,0.0
sponge,board:chopping,0,0,1,0,0,1,0,0.0
water,cup,0,0,1,0,0,1,0,0.0
water,pick-up,0,0,0,1,0,0,0,1.0
bag:plastic,throw,0,0,0,1,0,0,0,1.0
holder:pot,pick-up,0,0,0,1,0,0,0,1.0
filter,pick-up,0,0,0,1,0,0,0,1.0
processor:food,bit,0,0,1,0,0,1,0,0.0
pot:pressure,remove,0,0,0,1,0,0,0,1.0
tomato,wipe-off,0,0,0,1,0,0,0,1.0
sauce:soya,dish,0,0,1,0,0,1,0,0.0
maker:coffee,open,0,0,0,1,0,0,0,1.0
sausage,package,0,0,1,0,0,1,0,0.0
lid,lower,0,0,0,1,0,0,0,1.0
bread,place,0,0,0,1,0,0,0,1.0
liquid,cup,0,0,1,0,0,1,0,0.0
dish,sauce:soya,0,0,1,0,0,1,0,0.0
lettuce,sachet,0,0,1,0,0,1,0,0.0
milk,get,0,0,0,1,0,0,0,1.0
liquid,pick-up,0,0,0,1,0,0,0,1.0
water,jar:filter,0,0,1,0,0,1,0,0.0
lasagne,slice,0,0,0,1,0,0,0,1.0
strainer,put,0,0,0,1,0,0,0,1.0
jug,water,0,0,1,0,0,1,0,0.0
container:food,seal,0,0,0,1,0,0,0,1.0
refrigerator,tomato,0,0,1,0,0,1,0,0.0
cherry,take-out,0,0,0,1,0,0,0,1.0
bean:green,pan,0,0,1,0,0,1,0,0.0
tap,board:cutting,0,0,1,0,0,1,0,0.0
saucepan,pick-up,0,0,0,1,0,0,0,1.0
chicken,take,0,0,0,1,0,0,0,1.0
vinegar:wine,pan,0,0,1,0,0,1,0,0.0
pan,lather,0,0,0,1,0,0,0,1.0
bag:tea,take,0,0,0,1,0,0,0,1.0
container,shake,0,0,0,1,0,0,0,1.0
top:counter,kiwi,0,0,1,0,0,1,0,0.0
part,pot:coffee,0,0,1,0,0,1,0,0.0
tea,pick-up,0,0,0,1,0,0,0,1.0
ground:coffee,toss,0,0,0,1,0,0,0,1.0
filter,screw,0,0,0,1,0,0,0,1.0
chicken,plate,0,0,1,0,0,1,0,0.0
grape,table,0,0,1,0,0,1,0,0.0
tin:baking,open,0,0,0,1,0,0,0,1.0
ingredient,end,0,0,0,1,0,0,0,1.0
clothes,water:remove,0,0,1,0,0,1,0,0.0
nut,bag:nut,0,0,1,0,0,1,0,0.0
bin:garbage,garbage,0,0,1,0,0,1,0,0.0
spoon,side,0,0,1,0,0,1,0,0.0
leaf:mint,get,0,0,0,1,0,0,0,1.0
pot:right,sprout,0,0,1,0,0,1,0,0.0
food,serve,0,0,0,1,0,0,0,1.0
board:cutting,garlic,0,0,1,0,0,1,0,0.0
colander,put-down,0,0,0,1,0,0,0,1.0
bowl,cupboard,0,0,1,0,0,1,0,0.0
salt,pour,0,0,0,1,0,0,0,1.0
cutlery,sink,0,0,1,0,0,1,0,0.0
pan,pot,0,0,1,0,0,1,0,0.0
leftover,bin,0,0,1,0,0,1,0,0.0
tomato,wash,0,0,0,1,0,0,0,1.0
cheese:bin,pack:cheese,0,0,1,0,0,1,0,0.0
bag:flower,take,0,0,0,1,0,0,0,1.0
mat:sushi,pick-up,0,0,0,1,0,0,0,1.0
board:serving,place-on,0,0,0,1,0,0,0,1.0
salad:pour,bowl,0,0,1,0,0,1,0,0.0
glass,drawer,0,0,1,0,0,1,0,0.0
egg:second,bowl:glass,0,0,1,0,0,1,0,0.0
fridge,onion:spring,0,0,1,0,0,1,0,0.0
knife,scrape-off,0,0,0,1,0,0,0,1.0
cup:measuring,get,0,0,0,1,0,0,0,1.0
lettuce,carrot,0,0,1,0,0,1,0,0.0
chopstick,move,0,0,0,1,0,0,0,1.0
bag:kitchen,get,0,0,0,1,0,0,0,1.0
plate,spoon,0,0,1,1,0,1,0,1.0
teabag,put,0,0,0,1,0,0,0,1.0
switch:oil,stove,0,0,1,0,0,1,0,0.0
clove,skin,0,0,1,0,0,1,0,0.0
water,swirl,0,0,0,1,0,0,0,1.0
flour,check,0,0,0,1,0,0,0,1.0
slice:pizza,take,0,0,0,1,0,0,0,1.0
yoghurt,put,0,0,0,1,0,0,0,1.0
board:cutting,take,0,0,0,1,0,0,0,1.0
holder:jug,dry,0,0,0,1,0,0,0,1.0
sponge,sink,0,0,1,0,0,1,0,0.0
tupperware:second,pick-up,0,0,0,1,0,0,0,1.0
water,throw,0,0,0,1,0,0,0,1.0
filter,throw,0,0,0,1,0,0,0,1.0
powder:curry,take,0,0,0,1,0,0,0,1.0
lettuce,remove,0,0,0,1,0,0,0,1.0
dough,place,0,0,0,1,0,0,0,1.0
chicken,rinse,0,0,0,1,0,0,0,1.0
dishwasher,empty,0,0,0,1,0,0,0,1.0
pack,spoon:wooden,0,0,1,0,0,1,0,0.0
table,bowl:sugar,0,0,1,0,0,1,0,0.0
time,microwave,0,0,1,0,0,1,0,0.0
mug,hang-up,0,0,0,1,0,0,0,1.0
jar,arrange,0,0,0,1,0,0,0,1.0
salt,pour-in,0,0,0,1,0,0,0,1.0
slice:pizza,plate,0,0,1,0,0,1,0,0.0
hob,surface,0,0,1,0,0,1,0,0.0
hand,wash,0,0,0,1,0,0,0,1.0
packaging,milk,0,0,1,0,0,1,0,0.0
wash,tap,0,0,1,0,0,1,0,0.0
piece:meat,hand,0,0,1,0,0,1,0,0.0
bacon,fridge,0,0,1,0,0,1,0,0.0
spoon:coffee,drop,0,0,0,1,0,0,0,1.0
mocha,pick-up,0,0,0,1,0,0,0,1.0
cabinet,sauce,0,0,1,0,0,1,0,0.0
onion:spring,put-back,0,0,0,1,0,0,0,1.0
packet,put-down,0,0,0,1,0,0,0,1.0
mat,place,0,0,0,1,0,0,0,1.0
mushroom,bowl,0,0,1,0,0,1,0,0.0
tomato,pick-up,0,0,0,1,0,0,0,1.0
shelf:plated,put,0,0,0,1,0,0,0,1.0
chicken,check,0,0,0,1,0,0,0,1.0
dish,egg,0,0,1,0,0,1,0,0.0
pan:frying,test,0,0,0,1,0,0,0,1.0
liquid,machine:washing,0,0,1,0,0,1,0,0.0
bag:plastic,spice,0,0,1,0,0,1,0,0.0
box:lunch,crisp,0,0,1,0,0,1,0,0.0
curd:bean,chopstick,0,0,1,0,0,1,0,0.0
pot:larger,pot,0,0,1,0,0,1,0,0.0
pan,garlic,0,0,1,0,0,1,0,0.0
piece:ginger,fridge,0,0,1,0,0,1,0,0.0
bin,piece:ginger,0,0,1,0,0,1,0,0.0
chilli,finish,0,0,0,1,0,0,0,1.0
lid,bottle,0,0,1,0,0,1,0,0.0
oven,microwave,0,0,1,0,0,1,0,0.0
hand,inspect,0,0,0,1,0,0,0,1.0
lid:teapot,teapot,0,0,1,0,0,1,0,0.0
bin,cap:milk,0,0,1,0,0,1,0,0.0
chair,move,0,0,0,1,0,0,0,1.0
flour,move,0,0,0,1,0,0,0,1.0
spoon,pull-out,0,0,0,1,0,0,0,1.0
rest:spoon,pick-up,0,0,0,1,0,0,0,1.0
coffee,bag,0,0,1,0,0,1,0,0.0
box:salt,open,0,0,0,1,0,0,0,1.0
lid:plastic,throw,0,0,0,1,0,0,0,1.0
trash,centre:tomato,0,0,1,0,0,1,0,0.0
knife,pick,0,0,0,1,0,0,0,1.0
cooker:rice,bucket:cooker,0,0,1,0,0,1,0,0.0
tomato:cherry,cut,0,0,0,1,0,0,0,1.0
residue:food,throw-away,0,0,0,1,0,0,0,1.0
chilli,slice,0,0,0,1,0,0,0,1.0
scissors,return,0,0,0,1,0,0,0,1.0
glass,fill-up,0,0,0,1,0,0,0,1.0
cutlery,cupboard,0,0,1,0,0,1,0,0.0
cupboard,package:popcorn,0,0,1,0,0,1,0,0.0
pasta,dish,0,0,1,0,0,1,0,0.0
strainer,pasta,0,0,1,0,0,1,0,0.0
film:cling,cupboard,0,0,1,0,0,1,0,0.0
bowl:egg,eggshell,0,0,1,0,0,1,0,0.0
onion,dough,0,0,1,0,0,1,0,0.0
masala,bag,0,0,1,0,0,1,0,0.0
leaf:spinach,bowl:serving,0,0,1,0,0,1,0,0.0
holder:spoon,pick-up,0,0,0,1,0,0,0,1.0
spoon,store,0,0,0,1,0,0,0,1.0
fridge,curry,0,0,1,0,0,1,0,0.0
basket,open,0,0,0,1,0,0,0,1.0
chicken,move,0,0,0,1,0,0,0,1.0
cucumber,put,0,0,0,1,0,0,0,1.0
cooker,dish,0,0,1,0,0,1,0,0.0
meat,package,0,0,1,0,0,1,0,0.0
sauce:soy,lettuce,0,0,1,0,0,1,0,0.0
olive,put-down,0,0,0,1,0,0,0,1.0
waste,put-down,0,0,0,1,0,0,0,1.0
hummus,open,0,0,0,1,0,0,0,1.0
sleeve,roll-up,0,0,0,1,0,0,0,1.0
processor,dishwasher,0,0,1,0,0,1,0,0.0
pan,plate,0,0,1,0,0,1,0,0.0
rack:drying,jug,0,0,1,0,0,1,0,0.0
ladle,dish,0,0,1,0,0,1,0,0.0
glass,place,0,0,0,1,0,0,0,1.0
cupboard,bottle:vinegar,0,0,1,0,0,1,0,0.0
lime,unwrap,0,0,0,1,0,0,0,1.0
bag:cereal,unfold,0,0,0,1,0,0,0,1.0
avocado,bag,0,0,1,0,0,1,0,0.0
cereal,open,0,0,0,1,0,0,0,1.0
garlic,slice,0,0,0,1,0,0,0,1.0
sauce,package,0,0,1,0,0,1,0,0.0
phone,front,0,0,1,0,0,1,0,0.0
bean:green,fridge,0,0,1,0,0,1,0,0.0
bowl:glass,stick:chop,0,0,1,0,0,1,0,0.0
laundry,machine:washing,0,0,1,0,0,1,0,0.0
base:pizza,put,0,0,0,1,0,0,0,1.0
cup:measuring,water,0,0,1,0,0,1,0,0.0
spatula,submerge,0,0,0,1,0,0,0,1.0
grape,put,0,0,0,1,0,0,0,1.0
leaf:salad,towel:kitchen,0,0,1,0,0,1,0,0.0
slice:cheese,put,0,0,0,1,0,0,0,1.0
pack:pasta,take,0,0,0,1,0,0,0,1.0
box:tea,shelf,0,0,1,0,0,1,0,0.0
roll:sesame,put,0,0,0,1,0,0,0,1.0
broom,place,0,0,0,1,0,0,0,1.0
carrot,tupperware,0,0,1,0,0,1,0,0.0
bag:spaghetti,open,0,0,0,1,0,0,0,1.0
teapot,lid,0,0,1,0,0,1,0,0.0
meat,stir,0,0,0,1,0,0,0,1.0
peeler:potato,put-away,0,0,0,1,0,0,0,1.0
packet,snip,0,0,0,1,0,0,0,1.0
noodle:instant,cut,0,0,0,1,0,0,0,1.0
water:pour,top,0,0,1,0,0,1,0,0.0
knife,look,0,0,0,1,0,0,0,1.0
tomato,throw,0,0,0,1,0,0,0,1.0
spade,powder:egg,0,0,1,0,0,1,0,0.0
glass,blueberry,0,0,1,0,0,1,0,0.0
pot:small,rinse,0,0,0,1,0,0,0,1.0
lid:chopper,pick-up,0,0,0,1,0,0,0,1.0
board:chopping,return,0,0,0,1,0,0,0,1.0
sprout:cooked,table,0,0,1,0,0,1,0,0.0
tortilla,bag:plastic,0,0,1,0,0,1,0,0.0
yoghurt,pick-up,0,0,0,1,0,0,0,1.0
drainer,dish,0,0,1,0,0,1,0,0.0
lettuce,sauce:soya,0,0,1,0,0,1,0,0.0
eggshell,bin,0,0,1,0,0,1,0,0.0
bag:pasta,instruction,0,0,1,0,0,1,0,0.0
stock,open,0,0,0,1,0,0,0,1.0
knife,fork:paper,0,0,1,0,0,1,0,0.0
kettle,turn,0,0,0,1,0,0,0,1.0
teaspoon,clean,0,0,0,1,0,0,0,1.0
drainer,spoon,0,0,1,0,0,1,0,0.0
sauce,sugar,0,0,1,0,0,1,0,0.0
bag:tea,remove,0,0,0,1,0,0,0,1.0
plate,cucumber,0,0,1,0,0,1,0,0.0
bin,food,0,0,1,0,0,1,0,0.0
cloth:table,take,0,0,0,1,0,0,0,1.0
skin,take-off,0,0,0,1,0,0,0,1.0
pot,drawer,0,0,1,0,0,1,0,0.0
rag,fork,0,0,1,0,0,1,0,0.0
bread,take,0,0,0,1,0,0,0,1.0
trivet,shake,0,0,0,1,0,0,0,1.0
mushroom,open,0,0,0,1,0,0,0,1.0
water,filter:water,0,0,1,0,0,1,0,0.0
cupboard,close,0,0,0,1,0,0,0,1.0
cucumber,wash,0,0,0,1,0,0,0,1.0
scoop,rinse,0,0,0,1,0,0,0,1.0
spoon,empty,0,0,0,1,0,0,0,1.0
saucer,put,0,0,0,1,0,0,0,1.0
bread,plate,0,0,1,0,0,1,0,0.0
garlic,squash,0,0,0,1,0,0,0,1.0
jar,machine:coffee,0,0,1,0,0,1,0,0.0
steak,pick-up,0,0,0,1,0,0,0,1.0
table,knife:fork,0,0,1,0,0,1,0,0.0
bin:trash,open,0,0,0,1,0,0,0,1.0
sugar,coffee,0,0,1,0,0,1,0,0.0
pot:mocha,hob,0,0,1,0,0,1,0,0.0
control:remote,pick-up,0,0,0,1,0,0,0,1.0
bottle,box,0,0,1,0,0,1,0,0.0
drink,put,0,0,0,1,0,0,0,1.0
grill,part:lower,0,0,1,0,0,1,0,0.0
pancake,place-on,0,0,0,1,0,0,0,1.0
processor,take-out,0,0,0,1,0,0,0,1.0
rice,shake,0,0,0,1,0,0,0,1.0
bag:pasta,open,0,0,0,1,0,0,0,1.0
water:hot,corn,0,0,1,0,0,1,0,0.0
oil:olive,top,0,0,1,0,0,1,0,0.0
driver:screw,move,0,0,0,1,0,0,0,1.0
cloth,fold,0,0,0,1,0,0,0,1.0
container,lemon,0,0,1,0,0,1,0,0.0
machine:coffee,clean,0,0,0,1,0,0,0,1.0
glass,lather,0,0,0,1,0,0,0,1.0
bowl:glass,grab,0,0,0,1,0,0,0,1.0
breast:chicken,pick-up,0,0,0,1,0,0,0,1.0
bag,place,0,0,0,1,0,0,0,1.0
roll:kitchen,move,0,0,0,1,0,0,0,1.0
cube:gravy,break-up,0,0,0,1,0,0,0,1.0
mixture,mix-in,0,0,0,1,0,0,0,1.0
grass:lemon,slice,0,0,0,1,0,0,0,1.0
dishwasher,pan,0,0,1,0,0,1,0,0.0
tap,tap-off,0,0,0,1,0,0,0,1.0
bottle,bag,0,0,1,0,0,1,0,0.0
clothes,get,0,0,0,1,0,0,0,1.0
knife,aubergine,0,0,1,0,0,1,0,0.0
lettuce,sauce:soy,0,0,1,0,0,1,0,0.0
liquid:cleaning,pot,0,0,1,0,0,1,0,0.0
pitcher,grab,0,0,0,1,0,0,0,1.0
ketchup,plate,0,0,1,0,0,1,0,0.0
colander,wash,0,0,0,1,0,0,0,1.0
cucumber,pick-up,0,0,0,1,0,0,0,1.0
cupboard,pot:sauce,0,0,1,0,0,1,0,0.0
parsley,tray,0,0,1,0,0,1,0,0.0
bacon,spaghetti,0,0,1,0,0,1,0,0.0
pot,oat,0,0,1,0,0,1,0,0.0
porridge,bean:green,0,0,1,0,0,1,0,0.0
onion:spring,open,0,0,0,1,0,0,0,1.0
pan,roll:kitchen,0,0,1,0,0,1,0,0.0
cupboard,bag:flour,0,0,1,0,0,1,0,0.0
box,close,0,0,0,1,0,0,0,1.0
plate,put-onto,0,0,0,1,0,0,0,1.0
pot:electronic,spade,0,0,1,0,0,1,0,0.0
flour:egg,chopstick,0,0,1,0,0,1,0,0.0
bottle,cover,0,0,1,0,0,1,0,0.0
half,onion,0,0,1,0,0,1,0,0.0
paper,pick-up,0,0,0,1,0,0,0,1.0
cup,put-down,0,0,0,1,0,0,0,1.0
finger,dough,0,0,1,0,0,1,0,0.0
base:pizza,pick-up,0,0,0,1,0,0,0,1.0
bowl,surface,0,0,1,0,0,1,0,0.0
water,potato,0,0,1,0,0,1,0,0.0
omelette:egg,slice,0,0,0,1,0,0,0,1.0
phone,put-down,0,0,0,1,0,0,0,1.0
butter,grab,0,0,0,1,0,0,0,1.0
oil:olive,salad,0,0,1,0,0,1,0,0.0
oregano,meat,0,0,1,0,0,1,0,0.0
bowl:glass,flour,0,0,1,0,0,1,0,0.0
pepper,salad,0,0,1,0,0,1,0,0.0
table,container,0,0,1,0,0,1,0,0.0
table,blueberry,0,0,1,0,0,1,0,0.0
rice,spoon,0,0,0,1,0,0,0,1.0
mitt:oven,pick-up,0,0,0,1,0,0,0,1.0
freezer,front,0,0,1,0,0,1,0,0.0
pan,mixture,0,0,1,0,0,1,0,0.0
dish:tortilla,microwave,0,0,1,0,0,1,0,0.0
pot,place,0,0,0,1,0,0,0,1.0
spade,brush,0,0,1,0,0,1,0,0.0
vinegar:balsamic,open,0,0,0,1,0,0,0,1.0
dish,tomato,0,0,1,0,0,1,0,0.0
sauce,piece:leek,0,0,1,0,0,1,0,0.0
saucepan,potato,0,0,1,0,0,1,0,0.0
colander,pick-up,0,0,0,1,0,0,0,1.0
dryer,plate,0,0,1,0,0,1,0,0.0
spice,grind,0,0,0,1,0,0,0,1.0
knife,stop,0,0,0,1,0,0,0,1.0
box:lunch,pack,0,0,0,1,0,0,0,1.0
cutlery,drainer,0,0,1,0,0,1,0,0.0
oven,switch-off,0,0,0,1,0,0,0,1.0
jar:pesto,teaspoon,0,0,1,0,0,1,0,0.0
flour,bag:plastic,0,0,1,0,0,1,0,0.0
bin,saucepan,0,0,1,0,0,1,0,0.0
onion,pestle,0,0,1,0,0,1,0,0.0
plug,plug-in,0,0,0,1,0,0,0,1.0
tofu,bag,0,0,1,0,0,1,0,0.0
sauce,put-back,0,0,0,1,0,0,0,1.0
cupboard,cereal,0,0,1,0,0,1,0,0.0
potato,stir,0,0,0,1,0,0,0,1.0
leaf:more,get,0,0,0,1,0,0,0,1.0
bowl,place-in,0,0,0,1,0,0,0,1.0
mixture,stir,0,0,0,1,0,0,0,1.0
spatula,pan,0,0,1,0,0,1,0,0.0
can,grab,0,0,0,1,0,0,0,1.0
napkin,throw-away,0,0,0,1,0,0,0,1.0
pot,drain,0,0,0,1,0,0,0,1.0
garlic,bag,0,0,1,0,0,1,0,0.0
coconut,put,0,0,0,1,0,0,0,1.0
bowl:salad,slice:mozzarella,0,0,1,0,0,1,0,0.0
curry,cover,0,0,0,1,0,0,0,1.0
strainer,leaf,0,0,1,0,0,1,0,0.0
skin:squash,bin,0,0,1,0,0,1,0,0.0
bag:coffee,open,0,0,0,1,0,0,0,1.0
mixture:powder,egg,0,0,1,0,0,1,0,0.0
pot:coffee,part,0,0,1,0,0,1,0,0.0
moka,unscrew,0,0,0,1,0,0,0,1.0
rice,cup:measuring,0,0,1,0,0,1,0,0.0
pasta,mix,0,0,0,1,0,0,0,1.0
carafe,soap,0,0,0,1,0,0,0,1.0
egg,wash,0,0,0,1,0,0,0,1.0
curry,mix,0,0,0,1,0,0,0,1.0
cucumber,throw,0,0,0,1,0,0,0,1.0
maker:coffee,stove,0,0,1,0,0,1,0,0.0
bin,rinse,0,0,0,1,0,0,0,1.0
raisin,pot,0,0,1,0,0,1,0,0.0
sauce,board:serving,0,0,1,0,0,1,0,0.0
potato,look-for,0,0,0,1,0,0,0,1.0
tin,open,0,0,0,1,0,0,0,1.0
pot,rice,0,0,1,0,0,1,0,0.0
filter,fold,0,0,0,1,0,0,0,1.0
clothes,water,0,0,1,0,0,1,0,0.0
part,fish,0,0,1,0,0,1,0,0.0
pitcher,close,0,0,0,1,0,0,0,1.0
meat,bowl,0,0,1,0,0,1,0,0.0
drawer:freezer,open,0,0,0,1,0,0,0,1.0
potato,peel,0,0,0,1,0,0,0,1.0
bean:green,packaging:bean,0,0,1,0,0,1,0,0.0
sink:kitchen,get,0,0,0,1,0,0,0,1.0
rubbish,bag:grape,0,0,1,0,0,1,0,0.0
lid:box,put,0,0,0,1,0,0,0,1.0
bowl,side,0,0,1,0,0,1,0,0.0
spatula:wooden,refrigerator,0,0,1,0,0,1,0,0.0
packaging:salad,clip,0,0,1,0,0,1,0,0.0
detergent,grab,0,0,0,1,0,0,0,1.0
knife,tin,0,0,1,0,0,1,0,0.0
pestle,scrape,0,0,0,1,0,0,0,1.0
oven,close,0,0,0,1,0,0,0,1.0
cupboard,pepper,0,0,1,0,0,1,0,0.0
soap,pan,0,0,1,0,0,1,0,0.0
glass,plate,0,0,1,0,0,1,0,0.0
mug,fill,0,0,0,1,0,0,0,1.0
