Object/Action_1,Object/Action_2,UsedFor,CapableOf,CreatedBy,Affordance,HasA,IsA,AtLocation,LocatedNear
cleanser,take,1,0,0,1,0,0,0,0
plastic,turmeric,0,0,0,0,0,0,0,1
bag,shake,1,0,0,1,0,0,0,0
knife,look-for,1,0,0,1,0,0,0,0
bowl,sink,0,0,0,0,0,0,0,1
lighter,take,1,0,0,1,0,0,0,0
pasta,tupperware,0,0,0,0,0,0,0,1
gas,adjust,1,0,0,1,0,0,0,0
spoon:wooden,move,1,0,0,1,0,0,0,0
pepper:bell,processor:food,0,0,0,0,0,0,0,1
honey,rusk,0,0,0,0,0,0,0,1
tomato,egg,0,0,0,0,0,0,0,1
strainer,put,1,0,0,1,0,0,0,0
bin,put-in,1,0,0,1,0,0,0,0
pesto,cheese,0,0,0,0,0,0,0,1
onion,put,1,0,0,1,0,0,0,0
spinach,board:cutting,0,0,0,0,0,0,0,1
counter:kitchen,container,0,0,0,0,0,0,0,1
table,water,0,0,0,0,0,0,0,1
bacon,salt,0,0,0,0,0,0,0,1
fish,pot,0,0,0,0,0,0,0,1
grinder:coffee,turn,1,0,0,1,0,0,0,0
cheese:bin,pack:cheese,0,0,0,0,0,0,0,1
liquid:laundry,pick-up,1,0,0,1,0,0,0,0
chopstick,sprout:more,0,0,0,0,0,0,0,1
coffee,put,1,0,0,1,0,0,0,0
cupboard,packet:popcorn,0,0,0,0,0,0,0,1
plate,pan,0,0,0,0,0,0,0,1
fridge,close,1,0,0,1,0,0,0,0
tap,close,1,0,0,1,0,0,0,0
bowl:salad,table,0,0,0,0,0,0,0,1
thigh:chicken,chunk,0,0,0,0,0,0,0,1
curry:potato,serve,1,0,0,1,0,0,0,0
dough,press,1,0,0,1,0,0,0,0
knife:mincing,move,1,0,0,1,0,0,0,0
bowl:saucepan,piece:leek,0,0,0,0,0,0,0,1
bowl,counter,0,0,0,0,0,0,0,1
microwave,check-on,1,0,0,1,0,0,0,0
lid:box,put,1,0,0,1,0,0,0,0
bottle:vinegar,shake,1,0,0,1,0,0,0,0
salad,toss,1,0,0,1,0,0,0,0
sauce,cut,1,0,0,1,0,0,0,0
peeler:potato,grab,1,0,0,1,0,0,0,0
bowl:glass,sink:water,0,0,0,0,0,0,0,1
mixture,mix,1,0,0,1,0,0,0,0
piece:leek,wash,1,0,0,1,0,0,0,0
egg,wash,1,0,0,1,0,0,0,0
sauce:tomato,take,1,0,0,1,0,0,0,0
microwave,tupperware,0,0,0,0,0,0,0,1
carrot,move,1,0,0,1,0,0,0,0
filter:maker,maker:coffee,0,0,0,0,0,0,0,1
bag:cheese,fridge,0,0,0,0,0,0,0,1
cooker,pot,0,0,0,0,0,0,0,1
pepper:bell,throw,1,0,0,1,0,0,0,0
powder:curry,put,1,0,0,1,0,0,0,0
plate,cupboard,0,0,0,0,0,0,0,1
ring:onion,get,1,0,0,1,0,0,0,0
milk,bowl,0,0,0,0,0,0,0,1
filter,take,1,0,0,1,0,0,0,0
broccoli,rest,0,0,0,0,0,0,0,1
breast:chicken,pan,0,0,0,0,0,0,0,1
egg,mixture,0,0,0,0,0,0,0,1
tap,tap-off,1,0,0,1,0,0,0,0
bag:plastic,open,1,0,0,1,0,0,0,0
mat:table,get,1,0,0,1,0,0,0,0
filter:teapot,pick-up,1,0,0,1,0,0,0,0
fish,piece:several,0,0,0,0,0,0,0,1
plate,wash,1,0,0,1,0,0,0,0
spatula,slice,1,0,0,1,0,0,0,0
onion:spring,wash,1,0,0,1,0,0,0,0
packaging,pick-up,1,0,0,1,0,0,0,0
peeling,put-down,1,0,0,1,0,0,0,0
oil,sprout,0,0,0,0,0,0,0,1
patty,tuna,0,0,0,0,0,0,0,1
machine:coffee,wash,1,0,0,1,0,0,0,0
stove,light,1,0,0,1,0,0,0,0
paneer,put,1,0,0,1,0,0,0,0
plate:small,grab,1,0,0,1,0,0,0,0
bit:food,wipe-off,1,0,0,1,0,0,0,0
tap:hot,turn-on,1,0,0,1,0,0,0,0
pack:cheese,table,0,0,0,0,0,0,0,1
pepper,cover,0,0,0,0,0,0,0,1
plate,potato,0,0,0,0,0,0,0,1
liquid:washing,pick-up,1,0,0,1,0,0,0,0
box,carrot,0,0,0,0,0,0,0,1
box,move,1,0,0,1,0,0,0,0
plate,tortilla,0,0,0,0,0,0,0,1
broom,put,1,0,0,1,0,0,0,0
fridge,throw,1,0,0,1,0,0,0,0
bag,squish,1,0,0,1,0,0,0,0
drainer,colander,0,0,0,0,0,0,0,1
cover,dustbin,0,0,0,0,0,0,0,1
cheese,bag,0,0,0,0,0,0,0,1
salt,close,1,0,0,1,0,0,0,0
teapot,wash,1,0,0,1,0,0,0,0
mixture:powder,powder:egg,0,0,0,0,0,0,0,1
pepper,pick-up,1,0,0,1,0,0,0,0
spoon,move,1,0,0,1,0,0,0,0
vinegar:balsamic,open,1,0,0,1,0,0,0,0
bacon,put,1,0,0,1,0,0,0,0
box:lunch,place,1,0,0,1,0,0,0,0
pan:cake,close,1,0,0,1,0,0,0,0
water:excess,squeeze,1,0,0,1,0,0,0,0
lemon,get,1,0,0,1,0,0,0,0
mobile,watch,1,0,0,1,0,0,0,0
oil:coconut,get,1,0,0,1,0,0,0,0
tablecloth,counter,0,0,0,0,0,0,0,1
holder,remove,1,0,0,1,0,0,0,0
cheese,shake,1,0,0,1,0,0,0,0
saucepan,rice,0,0,0,0,0,0,0,1
saucepan,onion,0,0,0,0,0,0,0,1
knife,move,1,0,0,1,0,0,0,0
mixture,move,1,0,0,1,0,0,0,0
potato,drain,1,0,0,1,0,0,0,0
dish,sauce:soya,0,0,0,0,0,0,0,1
spade,use,1,0,0,1,0,0,0,0
cucumber,stack-up,1,0,0,1,0,0,0,0
bowl,cupboard,0,0,0,0,0,0,0,1
cover,water:tap,0,0,0,0,0,0,0,1
yoghurt,plate,0,0,0,0,0,0,0,1
pot,sink,0,0,0,0,0,0,0,1
container:food,seal,1,0,0,1,0,0,0,0
clock:oven,microwave,0,0,0,0,0,0,0,1
light,switch-on,1,0,0,1,0,0,0,0
stove:electronic,clean,1,0,0,1,0,0,0,0
closet,open,1,0,0,1,0,0,0,0
top:cafetiere,cafetiere,0,0,0,0,0,0,0,1
pot,turn-off,1,0,0,1,0,0,0,0
container,take,1,0,0,1,0,0,0,0
aubergine,chop,1,0,0,1,0,0,0,0
vinegar,put-down,1,0,0,1,0,0,0,0
bowl,wash,1,0,0,1,0,0,0,0
bacon,fridge,0,0,0,0,0,0,0,1
chorizo,fridge,0,0,0,0,0,0,0,1
liquid:cleaning,wash,1,0,0,1,0,0,0,0
flour:egg,mixture,0,0,0,0,0,0,0,1
alarm,set,1,0,0,1,0,0,0,0
container,lettuce,0,0,0,0,0,0,0,1
saucer,take,1,0,0,1,0,0,0,0
garlic,pick-up,1,0,0,1,0,0,0,0
potato,bowl,0,0,0,0,0,0,0,1
lid,turn,1,0,0,1,0,0,0,0
tortilla,pack,0,0,0,0,0,0,0,1
food,plate,0,0,0,0,0,0,0,1
pasta,sink,0,0,0,0,0,0,0,1
hand,raisin,0,0,0,0,0,0,0,1
bowl,potato,0,0,0,0,0,0,0,1
package:food,take-out,1,0,0,1,0,0,0,0
knob,turn,1,0,0,1,0,0,0,0
olive,put-down,1,0,0,1,0,0,0,0
avocado,take,1,0,0,1,0,0,0,0
bowl,mixture,0,0,0,0,0,0,0,1
meat,compress,1,0,0,1,0,0,0,0
top,cover,0,0,0,0,0,0,0,1
onion,decide-if,1,0,0,1,0,0,0,0
brush,liquid:washing,0,0,0,0,0,0,0,1
mug,take-out,1,0,0,1,0,0,0,0
onion,mix,1,0,0,1,0,0,0,0
box:lunch,clean,1,0,0,1,0,0,0,0
spoon:coffee,drop,1,0,0,1,0,0,0,0
tomato,move,1,0,0,1,0,0,0,0
rack,plate,0,0,0,0,0,0,0,1
container:food,take,1,0,0,1,0,0,0,0
leaf:salad,bowl,0,0,0,0,0,0,0,1
filter,water:tap,0,0,0,0,0,0,0,1
glass,sink,0,0,0,0,0,0,0,1
pot,hob,0,0,0,0,0,0,0,1
pancake:oat,oat,0,0,0,0,0,0,0,1
water:tap,clean,1,0,0,1,0,0,0,0
top,pick-up,1,0,0,1,0,0,0,0
bag,place,1,0,0,1,0,0,0,0
paneer,cube,0,0,0,0,0,0,0,1
cover,pot:white,0,0,0,0,0,0,0,1
sponge,close,1,0,0,1,0,0,0,0
mixture:whole,take-out,1,0,0,1,0,0,0,0
rack:drying,board:washing,0,0,0,0,0,0,0,1
clothes,machine:washing,0,0,0,0,0,0,0,1
onion,turn,1,0,0,1,0,0,0,0
pan:cake,throw,1,0,0,1,0,0,0,0
drainer,scissor,0,0,0,0,0,0,0,1
top,oil:olive,0,0,0,0,0,0,0,1
packaging:meat,meat:open,0,0,0,0,0,0,0,1
fish,put,1,0,0,1,0,0,0,0
bottle:sauce,close,1,0,0,1,0,0,0,0
pot,switch,1,0,0,1,0,0,0,0
cover,search,1,0,0,1,0,0,0,0
scale,fish,0,0,0,0,0,0,0,1
table,brush,0,0,0,0,0,0,0,1
tray,pick,1,0,0,1,0,0,0,0
temp,change,1,0,0,1,0,0,0,0
spoon:wooden,use,1,0,0,1,0,0,0,0
stock:leftover,jug,0,0,0,0,0,0,0,1
julienne,carrot,0,0,0,0,0,0,0,1
switch,press,1,0,0,1,0,0,0,0
cover:plastic,take,1,0,0,1,0,0,0,0
pot:right,rice,0,0,0,0,0,0,0,1
hand,liquid,0,0,0,0,0,0,0,1
cup:measuring,stir,1,0,0,1,0,0,0,0
towel,water,0,0,0,0,0,0,0,1
rack,put-into,1,0,0,1,0,0,0,0
water,heat,1,0,0,1,0,0,0,0
glass,counter,0,0,0,0,0,0,0,1
brusher,wash,1,0,0,1,0,0,0,0
caper,put-down,1,0,0,1,0,0,0,0
ingredient,stir,1,0,0,1,0,0,0,0
microwave,turn-off,1,0,0,1,0,0,0,0
tupperware,cucumber,0,0,0,0,0,0,0,1
sink,pour-into,1,0,0,1,0,0,0,0
lid,carrot,0,0,0,0,0,0,0,1
rice,rest,0,0,0,0,0,0,0,1
bin,take,1,0,0,1,0,0,0,0
lid,move,1,0,0,1,0,0,0,0
bottle:water,open,1,0,0,1,0,0,0,0
dust,clean,1,0,0,1,0,0,0,0
sauce,table,0,0,0,0,0,0,0,1
clothes,liquid:cleaning,0,0,0,0,0,0,0,1
counter,open,1,0,0,1,0,0,0,0
meat:mince,salt,0,0,0,0,0,0,0,1
carafe,place,1,0,0,1,0,0,0,0
sugar,sauce,0,0,0,0,0,0,0,1
plate,egg:fried,0,0,0,0,0,0,0,1
yeast,open,1,0,0,1,0,0,0,0
tablecloth,cupboard,0,0,0,0,0,0,0,1
lid,sun,0,0,0,0,0,0,0,1
slice,ginger,0,0,0,0,0,0,0,1
pancake,syrup:cherry,0,0,0,0,0,0,0,1
fork,scour,1,0,0,1,0,0,0,0
cheese,hamburger,0,0,0,0,0,0,0,1
detergent,wok,0,0,0,0,0,0,0,1
salt,put-in,1,0,0,1,0,0,0,0
moka,fill,1,0,0,1,0,0,0,0
spoon:wooden,nut:pine,0,0,0,0,0,0,0,1
colander,pick-up,1,0,0,1,0,0,0,0
cooker,switch-off,1,0,0,1,0,0,0,0
sausage,stir,1,0,0,1,0,0,0,0
tablecloth,wash,1,0,0,1,0,0,0,0
masher,wash,1,0,0,1,0,0,0,0
scale:measuring,pick-out,1,0,0,1,0,0,0,0
spatula,scour,1,0,0,1,0,0,0,0
pot,scissors,0,0,0,0,0,0,0,1
milk,coffee,0,0,0,0,0,0,0,1
jar,shake,1,0,0,1,0,0,0,0
sharpener:knife,put,1,0,0,1,0,0,0,0
jug,empty,1,0,0,1,0,0,0,0
pan,pick-up,1,0,0,1,0,0,0,0
bowl:glass,sink,0,0,0,0,0,0,0,1
scoop,put-away,1,0,0,1,0,0,0,0
sink,plate,0,0,0,0,0,0,0,1
rest:spoon,rinse,1,0,0,1,0,0,0,0
bag:tortilla,open,1,0,0,1,0,0,0,0
cracker,put,1,0,0,1,0,0,0,0
pan,oil:olive,0,0,0,0,0,0,0,1
pot:mocha,hob,0,0,0,0,0,0,0,1
oil:olive,tomato,0,0,0,0,0,0,0,1
table,fruit,0,0,0,0,0,0,0,1
paneer,turn,1,0,0,1,0,0,0,0
heat:cooker,lower,1,0,0,1,0,0,0,0
rest,pot,0,0,0,0,0,0,0,1
lid:container,pick-up,1,0,0,1,0,0,0,0
teaspoon,lather,1,0,0,1,0,0,0,0
stuff,rest,0,0,0,0,0,0,0,1
brush,water,0,0,0,0,0,0,0,1
carafe,set-down,1,0,0,1,0,0,0,0
packet:granola,bin,0,0,0,0,0,0,0,1
microwave,switch,1,0,0,1,0,0,0,0
bit:salad,throw,1,0,0,1,0,0,0,0
bag,onion:diced,0,0,0,0,0,0,0,1
bread,nutella,0,0,0,0,0,0,0,1
packet,fridge,0,0,0,0,0,0,0,1
bowl,pin:rolling,0,0,0,0,0,0,0,1
pot,cupboard,0,0,0,0,0,0,0,1
flour,dough,0,0,0,0,0,0,0,1
tongs,sausage,0,0,0,0,0,0,0,1
fridge,dish,0,0,0,0,0,0,0,1
tap,dish,0,0,0,0,0,0,0,1
bag:plastic,noodle:instant,0,0,0,0,0,0,0,1
avocado,scoop,1,0,0,1,0,0,0,0
tin:baking,open,1,0,0,1,0,0,0,0
pot,wash,1,0,0,1,0,0,0,0
tofu,pick-up,1,0,0,1,0,0,0,0
cereal,open,1,0,0,1,0,0,0,0
spatula,stir,1,0,0,1,0,0,0,0
paste:shrimp,open,1,0,0,1,0,0,0,0
salt,bean,0,0,0,0,0,0,0,1
tomato:chopped,take,1,0,0,1,0,0,0,0
container,bacon,0,0,0,0,0,0,0,1
dish:tomato,table,0,0,0,0,0,0,0,1
bag,place-in,1,0,0,1,0,0,0,0
pan:frying,stir,1,0,0,1,0,0,0,0
water:more,bowl:glass,0,0,0,0,0,0,0,1
pot,mixture,0,0,0,0,0,0,0,1
oil,pot:pasta,0,0,0,0,0,0,0,1
nut:pine,stir,1,0,0,1,0,0,0,0
pot,pot:larger,0,0,0,0,0,0,0,1
knife,holder,0,0,0,0,0,0,0,1
cloth,hob,0,0,0,0,0,0,0,1
salt,bowl:salad,0,0,0,0,0,0,0,1
almond,close,1,0,0,1,0,0,0,0
counter,bowl,0,0,0,0,0,0,0,1
chopstick,bowl:glass,0,0,0,0,0,0,0,1
part,cut-off,1,0,0,1,0,0,0,0
cheese,place,1,0,0,1,0,0,0,0
side,fish,0,0,0,0,0,0,0,1
freezer,open,1,0,0,1,0,0,0,0
plate,search-for,1,0,0,1,0,0,0,0
bread,fridge,0,0,0,0,0,0,0,1
yeast,bowl,0,0,0,0,0,0,0,1
scissors,pot,0,0,0,0,0,0,0,1
pot:white,shake,1,0,0,1,0,0,0,0
cookie,packet:cookie,0,0,0,0,0,0,0,1
bag:plastic,onion,0,0,0,0,0,0,0,1
glass,cupboard,0,0,0,0,0,0,0,1
plate:tomato,take,1,0,0,1,0,0,0,0
chicken,salt,0,0,0,0,0,0,0,1
salt,bin,0,0,0,0,0,0,0,1
jug,bowl,0,0,0,0,0,0,0,1
jug:measuring,wash,1,0,0,1,0,0,0,0
kettle,return,1,0,0,1,0,0,0,0
plate,pour-onto,1,0,0,1,0,0,0,0
pot,liquid:cleaning,0,0,0,0,0,0,0,1
egg,package,0,0,0,0,0,0,0,1
knife,use,1,0,0,1,0,0,0,0
glass,wash,1,0,0,1,0,0,0,0
ladle,pick-up,1,0,0,1,0,0,0,0
garlic,board:cutting,0,0,0,0,0,0,0,1
flour:more,bowl,0,0,0,0,0,0,0,1
onion:spring,part,0,0,0,0,0,0,0,1
milk,put-back,1,0,0,1,0,0,0,0
bottle,bag,0,0,0,0,0,0,0,1
towel:kitchen,get,1,0,0,1,0,0,0,0
loaf,plate,0,0,0,0,0,0,0,1
pepper:bell,choose,1,0,0,1,0,0,0,0
grater:cheese,put-down,1,0,0,1,0,0,0,0
spatula,bowl,0,0,0,0,0,0,0,1
cloth,wring,1,0,0,1,0,0,0,0
tin,put,1,0,0,1,0,0,0,0
package:salt,close,1,0,0,1,0,0,0,0
pan,cabbage,0,0,0,0,0,0,0,1
water,clothes,0,0,0,0,0,0,0,1
dish:soap,lather,1,0,0,1,0,0,0,0
carrot,lid,0,0,0,0,0,0,0,1
cup:coffee,lather,1,0,0,1,0,0,0,0
bag,rubbish,0,0,0,0,0,0,0,1
pan,wine:red,0,0,0,0,0,0,0,1
coffee,maker:coffee,0,0,0,0,0,0,0,1
dish,pick-up,1,0,0,1,0,0,0,0
hob,saucepan,0,0,0,0,0,0,0,1
squeezer:lime,put,1,0,0,1,0,0,0,0
floor,towel:kitchen,0,0,0,0,0,0,0,1
pan,nut:pine,0,0,0,0,0,0,0,1
bread,plate,0,0,0,0,0,0,0,1
watch,remove,1,0,0,1,0,0,0,0
bottle,shake,1,0,0,1,0,0,0,0
scrap,pick-up,1,0,0,1,0,0,0,0
dishwasher,pin:rolling,0,0,0,0,0,0,0,1
bean:coffee,pour,1,0,0,1,0,0,0,0
cucumber,noodle,0,0,0,0,0,0,0,1
can,close,1,0,0,1,0,0,0,0
fridge,take,1,0,0,1,0,0,0,0
pack,sachet:flavour,0,0,0,0,0,0,0,1
scoop:coffee,take,1,0,0,1,0,0,0,0
food:cooked,pot,0,0,0,0,0,0,0,1
cupboard,sauce,0,0,0,0,0,0,0,1
hand,pepper,0,0,0,0,0,0,0,1
egg,pan:frying,0,0,0,0,0,0,0,1
plate,adjust,1,0,0,1,0,0,0,0
cereal,bowl,0,0,0,0,0,0,0,1
fridge,lettuce,0,0,0,0,0,0,0,1
bag,cut,1,0,0,1,0,0,0,0
holder:jug,put,1,0,0,1,0,0,0,0
machine:coffee,adjust,1,0,0,1,0,0,0,0
sauce,pour,1,0,0,1,0,0,0,0
coffee,extract,1,0,0,1,0,0,0,0
can,fill-up,1,0,0,1,0,0,0,0
mixture:tuna,put-down,1,0,0,1,0,0,0,0
microwave,tortilla,0,0,0,0,0,0,0,1
towel:paper,break,1,0,0,1,0,0,0,0
garlic,board:chopping,0,0,0,0,0,0,0,1
lighter,put,1,0,0,1,0,0,0,0
bag,roll-up,1,0,0,1,0,0,0,0
skin:potato,floor,0,0,0,0,0,0,0,1
skinner:carrot,rinse,1,0,0,1,0,0,0,0
garlic,bulb,0,0,0,0,0,0,0,1
pepper,chunk,0,0,0,0,0,0,0,1
fridge,chorizo,0,0,0,0,0,0,0,1
leaf,chop,1,0,0,1,0,0,0,0
lettuce,board,0,0,0,0,0,0,0,1
spice,pestle,0,0,0,0,0,0,0,1
cupboard,place-in,1,0,0,1,0,0,0,0
squash,drawer,0,0,0,0,0,0,0,1
hanger,clothes,0,0,0,0,0,0,0,1
glove,hang,1,0,0,1,0,0,0,0
colander,lid,0,0,0,0,0,0,0,1
onion:new,cut,1,0,0,1,0,0,0,0
desk,clean,1,0,0,1,0,0,0,0
cheese,sauce,0,0,0,0,0,0,0,1
top:pot,pot,0,0,0,0,0,0,0,1
cloth,wash,1,0,0,1,0,0,0,0
refrigerator,packet:cookie,0,0,0,0,0,0,0,1
plate,pick,1,0,0,1,0,0,0,0
almond:canned,spoon,1,0,0,1,0,0,0,0
pan,lid,0,0,0,0,0,0,0,1
rubbish,pick-up,1,0,0,1,0,0,0,0
leaf,celery,0,0,0,0,0,0,0,1
tuna,eat,1,0,0,1,0,0,0,0
cooker,pan,0,0,0,0,0,0,0,1
cheese,packet,0,0,0,0,0,0,0,1
processor:food,throw,1,0,0,1,0,0,0,0
nut,bag:nut,0,0,0,0,0,0,0,1
cup:measuring,rice,0,0,0,0,0,0,0,1
liquid:washing,washing:dish,0,0,0,0,0,0,0,1
piece:ginger,knife,0,0,0,0,0,0,0,1
packet:tea,open,1,0,0,1,0,0,0,0
chicken,put,1,0,0,1,0,0,0,0
pot:right,sprout,0,0,0,0,0,0,0,1
flour,cup,0,0,0,0,0,0,0,1
pan,yeast,0,0,0,0,0,0,0,1
board,dishwasher,0,0,0,0,0,0,0,1
peeling,cut,1,0,0,1,0,0,0,0
box,stock,0,0,0,0,0,0,0,1
cinnamon,spoon-in,1,0,0,1,0,0,0,0
water:tap,clothes,0,0,0,0,0,0,0,1
bin,pot,0,0,0,0,0,0,0,1
drawer,open-up,1,0,0,1,0,0,0,0
bin,skin:squash,0,0,0,0,0,0,0,1
sachet:flavour,pack,0,0,0,0,0,0,0,1
back,processor:food,0,0,0,0,0,0,0,1
filter,screw,1,0,0,1,0,0,0,0
tin:tomato,pick-up,1,0,0,1,0,0,0,0
can,throw,1,0,0,1,0,0,0,0
jar,place,1,0,0,1,0,0,0,0
bin,grind:coffee,0,0,0,0,0,0,0,1
moka,move,1,0,0,1,0,0,0,0
beer,put-down,1,0,0,1,0,0,0,0
yoghurt,pick-up,1,0,0,1,0,0,0,0
cream,place,1,0,0,1,0,0,0,0
sponge,dish,0,0,0,0,0,0,0,1
liquid:cleaning,spread,1,0,0,1,0,0,0,0
salad,wash,1,0,0,1,0,0,0,0
bottle:oil,pick-up,1,0,0,1,0,0,0,0
kettle,plug-in,1,0,0,1,0,0,0,0
pan,hold,1,0,0,1,0,0,0,0
garlic,skin,0,0,0,0,0,0,0,1
pear,plate,0,0,0,0,0,0,0,1
salt,take,1,0,0,1,0,0,0,0
blender,surface,0,0,0,0,0,0,0,1
bag,box:cereal,0,0,0,0,0,0,0,1
noodle,stir,1,0,0,1,0,0,0,0
mug,put-down,1,0,0,1,0,0,0,0
pot:moka,close,1,0,0,1,0,0,0,0
cloth:dish,pick-up,1,0,0,1,0,0,0,0
packaging,close,1,0,0,1,0,0,0,0
fork:paper,knife,0,0,0,0,0,0,0,1
top,bottle,0,0,0,0,0,0,0,1
short:boxer,hang,1,0,0,1,0,0,0,0
hand,piece:ginger,0,0,0,0,0,0,0,1
tile,wipe,1,0,0,1,0,0,0,0
leaf:mint,take,1,0,0,1,0,0,0,0
food,pick-up,1,0,0,1,0,0,0,0
washing:washing,cloth,0,0,0,0,0,0,0,1
waste,dustbin,0,0,0,0,0,0,0,1
cinnamon,bowl,0,0,0,0,0,0,0,1
plate:cereal,spoon,0,0,0,0,0,0,0,1
board:cutting,place-on,1,0,0,1,0,0,0,0
cabbage,pan,0,0,0,0,0,0,0,1
pizza,olive,0,0,0,0,0,0,0,1
tomato,slice,1,0,0,1,0,0,0,0
cooker,stove,0,0,0,0,0,0,0,1
number:hob,turn-on,1,0,0,1,0,0,0,0
pan,pull-out,1,0,0,1,0,0,0,0
cardboard,fish,0,0,0,0,0,0,0,1
plate:new,take,1,0,0,1,0,0,0,0
board:chopping,put-up,1,0,0,1,0,0,0,0
sugar,get,1,0,0,1,0,0,0,0
corncob,put-on,1,0,0,1,0,0,0,0
oil:olive,grab,1,0,0,1,0,0,0,0
onion:chopped,spread,1,0,0,1,0,0,0,0
cooker,chicken,0,0,0,0,0,0,0,1
fork,bowl:salad,0,0,0,0,0,0,0,1
lettuce,wash,1,0,0,1,0,0,0,0
knife,thing:water,0,0,0,0,0,0,0,1
bean:green,pan,0,0,0,0,0,0,0,1
cup,rack,0,0,0,0,0,0,0,1
sauce,container,0,0,0,0,0,0,0,1
hand,wipe-of,1,0,0,1,0,0,0,0
milk,nesquik,0,0,0,0,0,0,0,1
sauce:more,tortilla,0,0,0,0,0,0,0,1
scissors,put,1,0,0,1,0,0,0,0
pear,remove,1,0,0,1,0,0,0,0
scale,place,1,0,0,1,0,0,0,0
noodle,bowl,0,0,0,0,0,0,0,1
pizza,put-down,1,0,0,1,0,0,0,0
container,squash,0,0,0,0,0,0,0,1
toaster,turn,1,0,0,1,0,0,0,0
grape,place,1,0,0,1,0,0,0,0
pizza,remove,1,0,0,1,0,0,0,0
oven,open,1,0,0,1,0,0,0,0
plate,bread,0,0,0,0,0,0,0,1
pot,rest,0,0,0,0,0,0,0,1
sugar,table,0,0,0,0,0,0,0,1
carafe,rinse,1,0,0,1,0,0,0,0
olive,cut,1,0,0,1,0,0,0,0
scissors,packaging,0,0,0,0,0,0,0,1
pan:frying,onion,0,0,0,0,0,0,0,1
salsa,pot,0,0,0,0,0,0,0,1
fridge,bacon,0,0,0,0,0,0,0,1
geographic:national,put-down,1,0,0,1,0,0,0,0
meat,put-down,1,0,0,1,0,0,0,0
water,box,0,0,0,0,0,0,0,1
